Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),peak_brightness,year,month,hour,latitude,longitude
2018-04-30 13:17:57,45.5S,1.4W,34.0,13.1,8.7,-9.5,2.5,30000000000.0,0.1,2018-04-30 13:17:57,2018,4,13,-45.5,-1.4
2018-04-21 12:06:04,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,36000000000.0,0.12,2018-04-21 12:06:04,2018,4,12,-59.0,45.8
2018-04-19 14:02:27,7.5N,3.6E,30.0,20.9,-9.1,-2.5,18.6,72000000000.0,0.23,2018-04-19 14:02:27,2018,4,14,7.5,3.6
2018-04-19 13:39:38,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,512000000000.0,1.3,2018-04-19 13:39:38,2018,4,13,-22.2,72.6
2018-04-07 03:05:09,72.4N,78.7W,31.5,,,,,86000000000.0,0.27,2018-04-07 03:05:09,2018,4,3,72.4,-78.7
2018-02-21 01:28:03,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,71000000000.0,0.22,2018-02-21 01:28:03,2018,2,1,-13.5,-37.1
2018-02-15 13:38:22,43.8S,1.1W,50.7,,,,,27000000000.0,0.095,2018-02-15 13:38:22,2018,2,13,-43.8,-1.1
2018-02-12 02:15:19,15.9S,58.9W,,,,,,39000000000.0,0.13,2018-02-12 02:15:19,2018,2,2,-15.9,-58.9
2018-02-08 22:21:41,42.9N,179.7E,43.5,,,,,259000000000.0,0.7,2018-02-08 22:21:41,2018,2,22,42.9,179.7
2018-02-01 12:21:36,19.4S,104.3E,37.0,16.5,8.1,-8.4,-11.7,190000000000.0,0.53,2018-02-01 12:21:36,2018,2,12,-19.4,104.3
2018-01-22 22:06:30,14.0N,17.4W,,,,,,32000000000.0,0.11,2018-01-22 22:06:30,2018,1,22,14.0,-17.4
2018-01-15 02:18:38,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,199000000000.0,0.56,2018-01-15 02:18:38,2018,1,2,-52.0,57.2
2018-01-06 21:24:22,55.8N,52.5E,26.0,21.0,0.8,2.2,-20.9,28000000000.0,0.098,2018-01-06 21:24:22,2018,1,21,55.8,52.5
2018-01-06 18:24:28,39.5S,12.8E,26.0,,,,,36000000000.0,0.12,2018-01-06 18:24:28,2018,1,18,-39.5,12.8
2017-12-31 09:36:10,63.5S,101.3W,64.5,,,,,44000000000.0,0.15,2017-12-31 09:36:10,2017,12,9,-63.5,-101.3
2017-12-29 12:47:31,14.6N,49.5W,38.0,,,,,110000000000.0,0.33,2017-12-29 12:47:31,2017,12,12,14.6,-49.5
2017-12-28 17:45:44,,,,,,,,114000000000.0,0.34,2017-12-28 17:45:44,2017,12,17,0.0,0.0
2017-12-15 13:14:37,60.2N,170.0E,20.0,31.4,27.8,-4.7,-13.9,3114000000000.0,6.4,2017-12-15 13:14:37,2017,12,13,60.2,170.0
2017-11-19 04:17:32,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,28000000000.0,0.098,2017-11-19 04:17:32,2017,11,4,-24.2,135.0
2017-10-26 22:05:35,21.3S,177.6E,42.5,,,,,558000000000.0,1.4,2017-10-26 22:05:35,2017,10,22,-21.3,177.6
2017-10-23 15:31:23,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,24000000000.0,0.086,2017-10-23 15:31:23,2017,10,15,28.8,44.6
2017-10-15 04:33:16,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,33000000000.0,0.11,2017-10-15 04:33:16,2017,10,4,-65.2,128.2
2017-10-09 12:51:48,18.3S,64.1W,,,,,,30000000000.0,0.1,2017-10-09 12:51:48,2017,10,12,-18.3,-64.1
2017-10-04 12:07:05,28.1N,99.4E,37.0,14.6,-8.5,-9.0,7.8,192000000000.0,0.54,2017-10-04 12:07:05,2017,10,12,28.1,99.4
2017-09-05 05:11:27,49.3N,116.9W,36.0,14.7,12.7,-6.1,-4.2,38000000000.0,0.13,2017-09-05 05:11:27,2017,9,5,49.3,-116.9
2017-07-31 22:01:35,24.7N,118.5W,,,,,,58000000000.0,0.19,2017-07-31 22:01:35,2017,7,22,24.7,-118.5
2017-07-23 06:12:38,6.6S,69.7W,38.0,17.2,-0.4,8.7,-14.8,35000000000.0,0.12,2017-07-23 06:12:38,2017,7,6,-6.6,-69.7
2017-07-13 09:30:36,23.1N,60.7E,35.0,13.7,-10.0,-6.5,-6.8,73000000000.0,0.23,2017-07-13 09:30:36,2017,7,9,23.1,60.7
2017-06-30 14:26:45,34.3S,134.5E,20.0,15.2,10.9,-9.7,4.2,94000000000.0,0.29,2017-06-30 14:26:45,2017,6,14,-34.3,134.5
2017-06-23 20:21:55,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,184000000000.0,0.52,2017-06-23 20:21:55,2017,6,20,57.0,143.7
2017-06-20 13:41:32,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,636000000000.0,1.6,2017-06-20 13:41:32,2017,6,13,-54.2,133.0
2017-05-24 07:03:03,9.1S,101.8E,46.0,18.4,-6.5,-16.5,-5.0,90000000000.0,0.28,2017-05-24 07:03:03,2017,5,7,-9.1,101.8
2017-05-22 17:44:39,49.6S,157.6W,33.0,,,,,35000000000.0,0.12,2017-05-22 17:44:39,2017,5,17,-49.6,-157.6
2017-05-14 09:30:35,26.0S,32.4E,33.0,,,,,35000000000.0,0.12,2017-05-14 09:30:35,2017,5,9,-26.0,32.4
2017-04-30 21:28:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,150000000000.0,0.43,2017-04-30 21:28:28,2017,4,21,-25.7,56.2
2017-03-11 04:51:21,28.3N,60.2W,28.0,,,,,1263000000000.0,2.9,2017-03-11 04:51:21,2017,3,4,28.3,-60.2
2017-03-09 04:16:37,40.5N,18.0W,23.0,36.5,-15.3,25.8,-20.8,400000000000.0,1.0,2017-03-09 04:16:37,2017,3,4,40.5,-18.0
2017-03-08 22:21:59,26.1S,174.9E,37.0,,,,,72000000000.0,0.23,2017-03-08 22:21:59,2017,3,22,-26.1,174.9
